"feast.feastID";"feast.feastName";"feast.feastDay";"feast.feastMonth";"feast.monthName"
1;"Feast of the The Conversion of Saint Paul";25;0;"January"
2;"Feast of Our Lady of Lourdes";11;1;"February"
3;"Feast of the Chair of Saint Peter";22;1;"February"
4;"Feast of Saint Patrick";17;2;"March"
5;"Feast of Saint Joseph the Husband of Mary";19;2;"March"
6;"Feast of the Annunciation of the Lord";25;2;"March"
7;"Feast of Saint Mark the Evangelist";25;3;"April"
8;"Feast of Saints Philip and James";3;4;"May"
9;"Feast of Our Lady of Fatima";13;4;"May"
10;"Feast of Saint Matthias the Apostle";14;4;"May"
11;"Feast of the Visitation of the Blessed Virgin Mary";31;4;"May"
12;"Feast of Saint Anthony of Padua";13;5;"June"
13;"Feast of Saint Thomas Moore";22;5;"June"
14;"Feast of the Birth of Saint John the Baptist";24;5;"June"
15;"Feast of Saints Peter and Paul";29;5;"June"
16;"Feast of Saint Thomas the Apostle";3;6;"July"
17;"Feast of Saint Mary Magdalene";22;6;"July"
18;"Feast of Saint James";25;6;"July"
19;"Feast of the Transfiguration of the Lord";6;7;"August"
20;"Feast of Saint Moses the Black";26;7;"August"
21;"Feast of the Assumption of the Blessed Virgin Mary";15;7;"August"
22;"Feast of Saint Bartholomew the Apostle";24;7;"August"
23;"Feast of the Birth of the Blessed Virgin Mary";8;8;"September"
24;"Feast of the Exaltation of the Holy Cross";14;8;"September"
25;"Feast of Saint Matthew the Evangelist";21;8;"September"
26;"Feast of The Heavenly Archangels";29;8;"September"
27;"Feast of Saint Francis of Assisi";4;9;"October"
28;"Feast of Saint Luke the Evangelist";18;9;"October"
29;"Feast of Saint Simon and Saint Jude";28;9;"October"
30;"Feast for All Saints";1;10;"November"
31;"Feast for All Souls";2;10;"November"
32;"Feast of Saint Andrew the Apostle";30;10;"November"
33;"Feast of Our Lady of Guadalupe";12;11;"December"
34;"Feast of Saint John the Apostle";27;11;"December"
